,year,interest-rate,inflation,government,continent
0,1960,1,1.779877847,Constitutional-Republic,Asia
1,1961,1.359574512,1.695212939,Constitutional-Republic,Asia
2,1962,0.578972021,3.632214971,Constitutional-Republic,Asia
3,1963,3.574901046,2.946161357,Constitutional-Republic,Asia
4,1964,5.008485432,13.35526115,Constitutional-Republic,Asia
5,1965,-4.788008238,9.474758592,Constitutional-Republic,Asia
6,1966,-2.183001818,10.80184835,Constitutional-Republic,Asia
7,1967,5.55485816,13.06220248,Constitutional-Republic,Asia
8,1968,1.169729838,3.237412426,Constitutional-Republic,Asia
9,1969,4.218131001,-0.58413661,Constitutional-Republic,Asia
10,1970,2.85855823,5.09226162,Constitutional-Republic,Asia
11,1971,-0.585705894,3.079938684,Constitutional-Republic,Asia
12,1972,-2.743920031,6.442097462,Constitutional-Republic,Asia
13,1973,0.996135555,16.94081598,Constitutional-Republic,Asia
14,1974,-1.074028888,28.59873408,Constitutional-Republic,Asia
15,1975,6.733780786,5.748430298,Constitutional-Republic,Asia
16,1976,-0.558062114,-7.633947634,Constitutional-Republic,Asia
17,1977,4.912095731,8.307470092,Constitutional-Republic,Asia
18,1978,3.398876544,2.523048757,Constitutional-Republic,Asia
19,1979,-7.321991041,6.275683368,Constitutional-Republic,Asia
20,1980,4.349374093,11.34607348,Constitutional-Republic,Asia
21,1981,3.62086273,13.1125469,Constitutional-Republic,Asia
22,1982,1.162592174,7.890742794,Constitutional-Republic,Asia
23,1983,4.892732989,11.8680813,Constitutional-Republic,Asia
24,1984,1.497907949,8.318907119,Constitutional-Republic,Asia
25,1985,2.914206593,5.556424232,Constitutional-Republic,Asia
26,1986,2.460505288,8.729720727,Constitutional-Republic,Asia
27,1987,1.691962091,8.801125813,Constitutional-Republic,Asia
28,1988,7.259166023,9.383471862,Constitutional-Republic,Asia
29,1989,3.673862559,7.074280029,Constitutional-Republic,Asia
30,1990,3.297854066,8.971232503,Constitutional-Republic,Asia
31,1991,-1.045105469,13.87024618,Constitutional-Republic,Asia
32,1992,3.316865935,11.78781704,Constitutional-Republic,Asia
33,1993,2.627465863,6.326890488,Constitutional-Republic,Asia
34,1994,4.525133811,10.24793556,Constitutional-Republic,Asia
35,1995,5.452945864,10.22488616,Constitutional-Republic,Asia
36,1996,5.471108102,8.977152338,Constitutional-Republic,Asia
37,1997,2.071873277,7.164252115,Constitutional-Republic,Asia
38,1998,4.19892116,13.23083898,Constitutional-Republic,Asia
39,1999,6.851333408,4.66982038,Constitutional-Republic,Asia
40,2000,1.965952437,4.00943591,Constitutional-Republic,Asia
41,2001,2.945319359,3.779293122,Constitutional-Republic,Asia
42,2002,1.975907984,4.297152039,Constitutional-Republic,Asia
43,2003,6.016520564,3.805858995,Constitutional-Republic,Asia
44,2004,6.132606168,3.767251735,Constitutional-Republic,Asia
45,2005,6.206011032,4.24634362,Constitutional-Republic,Asia
46,2006,6.426044715,5.796523376,Constitutional-Republic,Asia
47,2007,6.093625779,6.372881356,Constitutional-Republic,Asia
48,2008,1.630780589,8.349267049,Constitutional-Republic,Asia
49,2009,6.371709389,10.88235294,Constitutional-Republic,Asia
50,2010,7.01317458,11.98938992,Constitutional-Republic,Asia
51,2011,3.81807313,8.911793365,Constitutional-Republic,Asia
52,2012,4.06082357,9.478996914,Constitutional-Republic,Asia
53,2013,5.014611864,10.01787847,Constitutional-Republic,Asia
54,2014,6.086180227,6.665656719,Constitutional-Republic,Asia
55,2015,6.721067631,4.906973441,Constitutional-Republic,Asia
56,2016,6.980989701,4.948216341,Constitutional-Republic,Asia
57,2017,5.568333514,3.328173375,Constitutional-Republic,Asia
58,2018,5.302408679,3.938826467,Constitutional-Republic,Asia
59,2019,2.811873102,3.729505735,Constitutional-Republic,Asia
60,2020,-6.72629208,6.623436776,Constitutional-Republic,Asia
61,2021,8.184367716,5.131407472,Constitutional-Republic,Asia
62,2022,6.277403814,6.699034141,Constitutional-Republic,Asia
